snapshot_time,symbol,match_price,ref_price
2026-04-08 00:40:04,HPG,26800,26850
2026-04-08 01:39:55,HPG,26800,26850
2026-04-08 02:44:49,HPG,26800,26850
2026-04-08 03:31:12,HPG,26800,26850
2026-04-08 04:27:58,HPG,26800,26850
2026-04-08 05:07:52,HPG,26800,26850
2026-04-08 05:58:32,HPG,26800,26850
2026-04-08 06:50:19,HPG,26800,26850
2026-04-08 08:24:15,HPG,0,26800
2026-04-08 11:18:21,HPG,27850,26800
2026-04-08 13:00:56,HPG,27850,26800
2026-04-08 14:50:46,HPG,28000,26800
2026-04-08 15:53:10,HPG,28000,26800
2026-04-08 17:06:35,HPG,28000,26800
2026-04-08 18:15:14,HPG,28000,26800
2026-04-08 19:06:18,HPG,28000,26800
2026-04-08 21:01:41,HPG,28000,26800
2026-04-08 22:45:30,HPG,28000,26800
2026-04-08 23:47:44,HPG,28000,26800
